"Trends"
"Levels of activity (More detailed - 7 categories)"
"Local Authority and County Council"
"Active: 840+ mins "
"","Nov 15-16","Nov 16-17","Nov 17-18","Nov 18-19","Nov 19-20","Nov 20-21","Nov 21-22","Nov 22-23"
"Adur LA","25.2%","26.3%","23.9%","28.5%","30.6%","23.7%","31.3%","32.0%"
"Amber Valley LA","24.8%","18.5%","33.2%","24.8%","26.4%","27.0%","26.7%","30.0%"
"Arun LA","25.9%","26.7%","26.4%","29.2%","26.2%","23.5%","22.6%","27.6%"
"Ashfield LA","22.9%","26.9%","23.6%","21.6%","22.8%","25.4%","23.5%","22.7%"
"Ashford LA","23.8%","31.9%","22.1%","16.9%","24.6%","27.1%","22.9%","27.5%"
"Babergh LA","18.5%","25.2%","21.5%","23.4%","25.1%","25.8%","26.0%","25.7%"
"Barking and Dagenham LA","18.8%","17.3%","21.4%","19.2%","21.0%","18.7%","19.5%","21.8%"
"Barnet LA","21.1%","22.2%","24.5%","20.9%","18.9%","22.7%","29.5%","28.3%"
"Barnsley LA","25.0%","23.8%","25.2%","25.4%","21.0%","24.0%","23.0%","18.6%"
"Basildon LA","27.1%","23.2%","20.1%","20.4%","22.1%","23.1%","22.9%","27.4%"
"Basingstoke and Deane LA","29.5%","23.5%","25.8%","26.7%","29.1%","29.4%","27.6%","25.1%"
"Bassetlaw LA","21.6%","19.3%","25.4%","24.9%","20.7%","22.6%","25.5%","24.3%"
"Bath and North East Somerset LA","27.8%","29.6%","35.4%","30.1%","27.4%","27.7%","35.5%","38.0%"
"Bedford LA","22.0%","23.8%","26.3%","24.1%","24.4%","27.6%","25.4%","27.1%"
"Bexley LA","25.6%","19.6%","29.2%","23.2%","18.5%","20.6%","25.7%","26.3%"
"Birmingham LA","24.5%","26.1%","23.7%","23.0%","20.7%","21.5%","22.8%","24.0%"
"Blaby LA","20.2%","18.2%","25.2%","24.3%","22.4%","21.4%","22.9%","23.1%"
"Blackburn with Darwen  LA","21.2%","26.5%","22.3%","24.0%","19.5%","22.8%","21.5%","24.9%"
"Blackpool  LA","22.7%","21.3%","24.6%","22.8%","21.2%","19.2%","22.6%","23.9%"
"Bolsover LA","24.5%","22.9%","23.7%","24.1%","24.0%","19.9%","25.9%","22.0%"
"Bolton LA","27.7%","23.0%","25.1%","25.5%","23.9%","24.9%","22.4%","26.7%"
"Boston LA","19.4%","21.6%","21.6%","20.8%","19.6%","16.2%","16.2%","19.9%"
"Bournemouth, Christchurch and Poole LA","24.6%","28.4%","30.1%","27.6%","24.4%","29.9%","25.4%","28.3%"
"Bracknell Forest  LA","23.6%","22.4%","31.4%","24.3%","28.0%","22.1%","26.4%","21.2%"
