"Trends"
"Levels of activity (More detailed - 7 categories)"
"Local Authority and County Council"
"Inactive: Light only"
"","Nov 15-16","Nov 16-17","Nov 17-18","Nov 18-19","Nov 19-20","Nov 20-21","Nov 21-22","Nov 22-23"
"Adur LA","12.7%","7.6%","8.6%","8.0%","7.7%","10.4%","6.0%","8.1%"
"Amber Valley LA","7.1%","11.6%","8.6%","7.9%","8.9%","8.8%","7.6%","9.8%"
"Arun LA","10.4%","11.8%","10.8%","8.7%","14.4%","13.1%","11.3%","8.0%"
"Ashfield LA","9.5%","12.0%","8.7%","10.0%","10.5%","7.2%","10.4%","6.3%"
"Ashford LA","10.0%","8.7%","9.8%","13.2%","13.1%","10.0%","9.5%","6.9%"
"Babergh LA","13.1%","9.5%","12.3%","7.7%","10.7%","7.2%","11.2%","8.3%"
"Barking and Dagenham LA","10.0%","11.8%","11.9%","14.8%","10.2%","11.8%","12.5%","12.6%"
"Barnet LA","10.3%","12.3%","8.5%","12.2%","10.6%","7.8%","5.4%","6.7%"
"Barnsley LA","8.7%","8.5%","11.7%","8.5%","11.9%","8.4%","8.6%","10.8%"
"Basildon LA","9.1%","12.0%","9.3%","10.7%","9.9%","12.7%","8.3%","9.7%"
"Basingstoke and Deane LA","8.7%","10.5%","5.8%","8.2%","8.3%","8.0%","7.4%","7.0%"
"Bassetlaw LA","16.2%","11.0%","9.4%","10.0%","13.5%","10.4%","14.8%","10.7%"
"Bath and North East Somerset LA","7.3%","8.2%","5.2%","10.4%","8.7%","7.1%","5.5%","5.6%"
"Bedford LA","7.1%","10.5%","12.3%","9.7%","8.5%","10.9%","7.3%","5.4%"
"Bexley LA","11.4%","10.1%","6.3%","11.4%","10.5%","10.7%","9.4%","6.9%"
"Birmingham LA","10.7%","9.8%","7.8%","10.0%","6.7%","7.3%","7.2%","6.5%"
"Blaby LA","10.8%","9.8%","9.9%","7.8%","12.5%","12.3%","10.9%","7.7%"
"Blackburn with Darwen  LA","5.3%","6.4%","9.5%","7.4%","7.0%","7.3%","9.4%","6.1%"
"Blackpool  LA","10.3%","10.9%","8.4%","10.3%","12.8%","10.0%","12.9%","9.8%"
"Bolsover LA","10.4%","12.8%","9.6%","7.9%","11.9%","10.0%","8.4%","9.4%"
"Bolton LA","8.2%","7.0%","8.8%","7.5%","7.6%","10.3%","7.0%","6.5%"
"Boston LA","13.1%","11.2%","14.5%","14.2%","9.9%","16.2%","12.2%","5.2%"
"Bournemouth, Christchurch and Poole LA","11.6%","11.3%","7.8%","6.8%","10.6%","9.6%","9.2%","7.0%"
"Bracknell Forest  LA","7.9%","-","7.0%","5.3%","9.7%","8.3%","4.7%","9.1%"
"Bradford LA","7.6%","6.4%","7.9%","8.0%","6.8%","5.8%","-","8.5%"
"Braintree LA","12.6%","12.0%","10.6%","9.7%","12.2%","12.9%","11.1%","6.7%"
"Breckland LA","11.1%","12.2%","9.5%","13.6%","14.0%","10.5%","9.4%","12.4%"
"Brent LA","7.9%","13.0%","11.1%","12.9%","8.5%","10.5%","6.8%","7.4%"
"Brentwood LA","9.6%","9.6%","8.6%","7.3%","8.3%","10.5%","10.5%","6.7%"
"Brighton and Hove  LA","-","-","-","-","-","8.4%","5.3%","-"
"Bristol, City of,  LA","7.2%","7.5%","6.5%","5.7%","6.4%","7.7%","5.5%","5.4%"
"Broadland LA","12.0%","8.3%","10.4%","11.4%","11.7%","9.1%","11.0%","9.1%"
"Bromley LA","9.9%","8.5%","11.4%","11.2%","5.4%","10.8%","7.3%","7.9%"
"Bromsgrove LA","9.4%","8.8%","8.5%","9.2%","7.6%","7.2%","9.8%","8.7%"
"Broxbourne LA","11.6%","12.8%","12.0%","9.8%","8.2%","13.4%","8.9%","11.1%"
"Broxtowe LA","8.4%","9.7%","6.9%","7.3%","12.6%","11.2%","8.4%","8.0%"
"Buckinghamshire LA","7.9%","9.7%","6.8%","8.8%","9.4%","8.8%","-","7.2%"
"Burnley LA","10.0%","7.7%","6.5%","11.7%","8.3%","8.6%","7.7%","10.3%"
"Bury LA","8.6%","8.8%","9.4%","9.3%","9.3%","7.0%","6.4%","7.6%"
"Calderdale LA","6.4%","8.2%","8.2%","7.2%","7.2%","7.4%","5.8%","8.1%"
"Cambridge LA","7.5%","4.6%","6.2%","6.4%","6.2%","6.7%","5.0%","6.1%"
"Camden LA","8.3%","5.9%","7.4%","8.3%","7.4%","7.2%","8.4%","5.4%"
"Cannock Chase LA","12.4%","10.7%","8.1%","8.1%","8.2%","8.4%","4.9%","8.6%"
"Canterbury LA","11.6%","11.3%","9.7%","6.9%","6.3%","9.8%","5.9%","6.9%"
"Castle Point LA","10.6%","13.8%","10.1%","14.5%","8.5%","10.0%","11.1%","10.8%"
"Central Bedfordshire LA","8.7%","10.4%","10.5%","8.8%","9.4%","9.4%","8.9%","6.8%"
"Charnwood LA","10.1%","9.1%","9.4%","7.1%","12.0%","7.8%","9.2%","5.4%"
"Chelmsford LA","14.6%","11.3%","9.5%","9.3%","9.4%","8.8%","8.7%","7.1%"
"Cheltenham LA","9.4%","9.0%","7.9%","5.9%","9.1%","7.3%","9.5%","6.2%"
"Cherwell LA","11.4%","9.6%","10.6%","8.7%","10.1%","8.2%","8.3%","8.6%"
"Cheshire East LA","6.2%","9.3%","7.4%","11.2%","7.0%","10.5%","9.6%","10.9%"
"Cheshire West and Chester LA","11.4%","9.7%","9.8%","7.3%","9.0%","7.1%","8.3%","5.7%"
"Chesterfield LA","7.9%","10.2%","10.7%","9.9%","7.8%","9.1%","6.7%","8.7%"
