"Trends","","","","","","","",""
"Levels of activity (More detailed - 7 categories)","","","","","","","",""
"Local Authority and County Council","","","","","","","",""
"Inactive: Nothing","","","","","","","",""
"","Nov 15-16","Nov 16-17","Nov 17-18","Nov 18-19","Nov 19-20","Nov 20-21","Nov 21-22","Nov 22-23"
"Adur LA","13.7%","11.0%","12.1%","14.7%","12.3%","13.7%","14.5%","15.3%"
"Amber Valley LA","19.5%","16.6%","14.6%","13.2%","13.7%","14.4%","18.1%","12.5%"
"Arun LA","10.9%","13.4%","12.9%","10.5%","17.0%","12.4%","14.0%","13.5%"
"Ashfield LA","15.3%","17.6%","17.7%","19.5%","18.0%","20.9%","18.5%","19.6%"
"Ashford LA","15.1%","11.2%","15.2%","15.4%","14.8%","15.1%","13.6%","11.0%"
"Babergh LA","13.3%","9.3%","13.2%","14.6%","13.6%","15.1%","13.7%","10.9%"
"Barking and Dagenham LA","21.2%","19.7%","21.6%","24.8%","23.7%","26.3%","25.5%","25.8%"
"Barnet LA","15.1%","16.3%","12.4%","13.1%","16.0%","15.6%","16.9%","10.7%"
"Barnsley LA","20.0%","21.1%","18.4%","17.3%","23.0%","22.7%","19.8%","24.6%"
"Basildon LA","15.7%","15.0%","18.9%","15.2%","22.5%","15.8%","17.9%","18.2%"
"Basingstoke and Deane LA","13.8%","11.4%","10.4%","13.5%","13.0%","11.5%","10.8%","13.9%"
"Bassetlaw LA","14.9%","19.4%","18.1%","15.2%","18.5%","17.8%","16.2%","14.5%"
"Bath and North East Somerset LA","11.3%","11.2%","9.0%","9.2%","12.5%","13.5%","9.7%","9.0%"
"Bedford LA","16.1%","13.3%","17.5%","16.3%","16.9%","13.0%","15.3%","9.9%"
"Bexley LA","11.2%","12.9%","12.8%","15.6%","21.9%","19.9%","17.2%","19.4%"
"Birmingham LA","17.4%","17.3%","18.9%","18.1%","24.5%","23.0%","24.8%","23.1%"
"Blaby LA","16.6%","12.7%","15.4%","13.2%","15.5%","13.5%","15.9%","13.2%"
"Blackburn with Darwen  LA","19.2%","20.1%","22.0%","20.6%","25.5%","27.4%","27.7%","25.1%"
