"measure","ethnicity","ethnicity_type","time","geography","geography_type","geography_code","gender","age","ns_sec","value","value_type","denominator","numerator","upper_95_c_i","lower_95_c_i","standard_error","sample_size"
"Percentage of people who are active","All","All","Nov 2021 to Nov 2022","East","Region","NA","All","16+","All","63.1","%","19625.5","12383.1","63.9","62.3","0.6","22533"
"Percentage of people who are active","All","All","Nov 2020 to Nov 2021","East","Region","NA","All","16+","All","60.2087339","%","19586.969956839","11793.066615145","61.06473","59.3464474","NA","22502"
"Percentage of people who are active","All","All","Nov 2015 to Nov 2016","East","Region","NA","All","16+","All","61.1","%","21749","13296","62","60.3","NA","26006"
"Percentage of people who are active","All","All","Nov 2016 to Nov 2017","East","Region","NA","All","16+","All","62","%","21559","13372","62.8","61.2","NA","25806"
"Percentage of people who are active","All","All","Nov 2017 to Nov 2018","East","Region","NA","All","16+","All","61.2","%","19905","12185","62","60.4","NA","23735"
"Percentage of people who are active","All","All","Nov 2018 to Nov 2019","East","Region","NA","All","16+","All","62.6","%","20069","12556","63.4","61.7","NA","23767"
"Percentage of people who are active","All","All","Nov 2019 to Nov 2020","East","Region","NA","All","16+","All","61.5","%","19649","12085","62.4","60.6","NA","22797"
"Percentage of people who are active","All","All","Nov 2021 to Nov 2022","East Midlands","Region","NA","All","16+","All","61.1","%","15398.6","9405.4","62.1","60","0.6","19268"
"Percentage of people who are active","All","All","Nov 2020 to Nov 2021","East Midlands","Region","NA","All","16+","All","59.2948377","%","15343.200735593","9097.725977282","60.245221","58.3374465","NA","21550"
"Percentage of people who are active","All","All","Nov 2015 to Nov 2016","East Midlands","Region","NA","All","16+","All","61.3","%","16865","10347","62.3","60.4","NA","22543"
"Percentage of people who are active","All","All","Nov 2016 to Nov 2017","East Midlands","Region","NA","All","16+","All","60.2","%","16767","10097","61.1","59.3","NA","22176"
"Percentage of people who are active","All","All","Nov 2017 to Nov 2018","East Midlands","Region","NA","All","16+","All","61.3","%","15538","9523","62.2","60.4","NA","21557"
"Percentage of people who are active","All","All","Nov 2018 to Nov 2019","East Midlands","Region","NA","All","16+","All","61.4","%","15695","9639","62.3","60.5","NA","21290"
"Percentage of people who are active","All","All","Nov 2019 to Nov 2020","East Midlands","Region","NA","All","16+","All","60.2","%","15366","9256","61.2","59.2","NA","21242"
"Percentage of people who are active","All","All","Nov 2021 to Nov 2022","England","Country","NA","All","16+","All","63.1","%","177551","112006.9","63.4","62.8","0.6","177551"
"Percentage of people who are active","All","All","Nov 2020 to Nov 2021","England","Country","NA","All","16+","All","61.3572569","%","177272.999999997","108769.849969752","61.6891067","61.0243486","NA","177273"
"Percentage of people who are active","All","All","Nov 2015 to Nov 2016","England","Country","NA","All","16+","All","62.1","%","196180","121778","62.4","61.7","NA","198911"
"Percentage of people who are active","All","All","Nov 2016 to Nov 2017","England","Country","NA","All","16+","All","61.8","%","194622","120320","62.1","61.5","NA","196635"
"Percentage of people who are active","All","All","Nov 2017 to Nov 2018","England","Country","NA","All","16+","All","62.7","%","179748","112730","63","62.4","NA","179747"
"Percentage of people who are active","All","All","Nov 2018 to Nov 2019","England","Country","NA","All","16+","All","63.3","%","181535","114852","63.6","62.9","NA","181535"
"Percentage of people who are active","All","All","Nov 2019 to Nov 2020","England","Country","NA","All","16+","All","61.4","%","177735","109074","61.7","61","NA","177735"
"Percentage of people who are active","All","All","Nov 2021 to Nov 2022","England","Country","NA","All","16-24","All","72.8","%","23169.5","16864","73.9","71.7","0.7","11027"
"Percentage of people who are active","All","All","Nov 2020 to Nov 2021","England","Country","NA","All","16-24","All","68.5688596","%","23096.150898312","15836.767293529","69.737286","67.3764249","NA","11143"
"Percentage of people who are active","All","All","Nov 2016 to Nov 2017","England","Country","NA","All","16-24","All","74.9","%","27117","20297","75.8","73.9","NA","12688"
"Percentage of people who are active","All","All","Nov 2017 to Nov 2018","England","Country","NA","All","16-24","All","75.7","%","24496","18555","76.8","74.7","NA","10941"
"Percentage of people who are active","All","All","Nov 2018 to Nov 2019","England","Country","NA","All","16-24","All","74.1","%","24403","18094","75.2","73","NA","11329"
"Percentage of people who are active","All","All","Nov 2019 to Nov 2020","England","Country","NA","All","16-24","All","70.1","%","23346","16358","71.2","68.9","NA","11924"
"Percentage of people who are active","All","All","Nov 2015 to Nov 2016","England","Country","NA","All","16-24","All","76.4","%","27894","21306","77.4","75.4","NA","13145"
"Percentage of people who are active","All","All","Nov 2021 to Nov 2022","England","Country","NA","All","16-74","NS SEC 1-2","72.6","%","67978.3","49338","73","72.2","0.7","86992"
"Percentage of people who are active","All","All","Nov 2020 to Nov 2021","England","Country","NA","All","16-74","NS SEC 1-2","71.2031141","%","66036.526367591","47020.063219243","71.61484","70.7878522","NA","85596"
"Percentage of people who are active","All","All","Nov 2015 to Nov 2016","England","Country","NA","All","16-74","NS SEC 1-2","71","%","67081","47649","71.4","70.6","NA","95199"
"Percentage of people who are active","All","All","Nov 2016 to Nov 2017","England","Country","NA","All","16-74","NS SEC 1-2","71","%","68379","48570","71.4","70.7","NA","95352"
